sample;data
148;0.39252
149;1.4234
150;0.58779
151;-1.0322
152;-1.3077
153;0.13756
154;1.4143
155;0.83906
156;-0.84484
157;-1.4286
158;-0.13704
159;1.3418
160;1.0644
161;-0.61256
162;-1.4911
163;-0.41463
164;1.2085
165;1.2488
166;-0.34862
167;-1.4897
168;-0.67799
169;1.0214
170;1.3804
171;-0.068966
172;-1.424
173;-0.91088
174;0.79199
175;1.4511
176;0.20919
177;-1.2988
178;-1.0995
179;0.53502
180;1.4578
181;0.46894
182;-1.1232
183;-1.2336
184;0.26703
185;1.4025
186;0.69512
187;-0.91003
188;-1.3075
189;0.0050385
190;1.2919
191;0.87567
192;-0.67485
193;-1.3204
194;-0.23503
195;1.1368
196;1.0026
197;-0.43417
198;-1.2766
199;-0.43976
200;0.95106
201;1.0728
202;-0.20412
203;-1.1845
204;-0.59938
205;0.75032
206;1.0879
207;0.0010376
208;-1.0563
209;-0.70856
210;0.55044
211;1.0542
212;0.1702
213;-0.90623
214;-0.76681
215;0.366
216;0.98187
217;0.29635
218;-0.74958
219;-0.77829
220;0.20902
221;0.88385
222;0.37709
223;-0.6009
224;-0.75133
225;0.087785
226;0.77446
227;0.41473
228;-0.47266
229;-0.69741
230;0.0062254
231;0.66797
232;0.4159
233;-0.37413
234;-0.62991
235;-0.036384
236;0.57713
237;0.39073
238;-0.31042
239;-0.56268
240;-0.045203
241;0.51184
242;0.35171
243;-0.28216
244;-0.50858
245;-0.029175
246;0.47825
247;0.31228
248;-0.28542
249;-0.4781
250;-4.41E-15
251;0.4781
252;0.28542
253;-0.31228
254;-0.47825
255;0.029175
256;0.50858
257;0.28216
258;-0.35171
259;-0.51184
260;0.045203
261;0.56268
262;0.31042
263;-0.39073
264;-0.57713
265;0.036384
266;0.62991
267;0.37413
268;-0.4159
269;-0.66797
270;-0.0062254
271;0.69741
272;0.47266
273;-0.41473
274;-0.77446
275;-0.087785
276;0.75133
277;0.6009
278;-0.37709
279;-0.88385
280;-0.20902
281;0.77829
282;0.74958
283;-0.29635
284;-0.98187
285;-0.366
286;0.76681
287;0.90623
288;-0.1702
289;-1.0542
290;-0.55044
291;0.70856
292;1.0563
293;-0.0010376
294;-1.0879
295;-0.75032
296;0.59938
297;1.1845
298;0.20412
299;-1.0728
300;-0.95106
301;0.43976
302;1.2766
303;0.43417
304;-1.0026
305;-1.1368
306;0.23503
307;1.3204
308;0.67485
309;-0.87567
310;-1.2919
311;-0.0050385
312;1.3075
313;0.91003
314;-0.69512
315;-1.4025
316;-0.26703
317;1.2336
318;1.1232
319;-0.46894
320;-1.4578
321;-0.53502
322;1.0995
323;1.2988
324;-0.20919
325;-1.4511
326;-0.79199
327;0.91088
328;1.424
329;0.068966
330;-1.3804
331;-1.0214
332;0.67799
333;1.4897
334;0.34862
335;-1.2488
336;-1.2085
337;0.41463
338;1.4911
339;0.61256
340;-1.0644
341;-1.3418
342;0.13704
343;1.4286
344;0.84484
345;-0.83906
346;-1.4143
347;-0.13756
348;1.3077
349;1.0322
350;-0.58779
351;-1.4234
352;-0.39252
353;1.138
354;1.165
355;-0.32725
356;-1.3719
357;-0.61318
358;0.93285
359;1.2385
360;-0.074232
361;-1.2672
362;-0.78819
363;0.70788
364;1.2528
365;0.15582
366;-1.1205
367;-0.91043
368;0.47943
369;1.2126
370;0.3502
371;-0.94587
372;-0.97759
373;0.26321
374;1.1271
375;0.5
376;-0.75893
377;-0.99218
378;0.072761
379;1.0087
380;0.60086
381;-0.57513
382;-0.96119
383;-0.081682
384;0.87179
385;0.6532
386;-0.40843
387;-0.89526
388;-0.1941
389;0.73138
390;0.66202
391;-0.26996
392;-0.80752
393;-0.26313
394;0.60143
395;0.63626
396;-0.167
397;-0.71219
398;-0.29203
399;0.49363
400;0.58779
401;-0.10238
402;-0.62311
403;-0.28822
404;0.41623
405;0.53004
406;-0.074323
407;-0.55231
408;-0.26238
409;0.37324
410;0.47662
411;-0.07673
412;-0.50878
413;-0.22725
414;0.36412
415;0.43982
416;-0.099926
417;-0.49755
418;-0.19624
419;0.38394
420;0.4293
421;-0.13176
422;-0.51922
423;-0.18191
424;0.42387
425;0.45106
426;-0.15893
427;-0.56984
428;-0.19464
429;0.47223
430;0.50676
431;-0.16849
432;-0.64141
433;-0.24146
434;0.51572
435;0.59352
436;-0.14921
437;-0.72265
438;-0.3252
439;0.54087
440;0.70413
441;-0.092918
442;-0.80018
443;-0.44414
444;0.53548
445;0.82778
446;0.0046098
447;-0.85995
448;-0.59206
449;0.49002
450;0.95106
451;0.14304
452;-0.88867
453;-0.75874
454;0.39865
455;1.0593
456;0.31739
457;-0.87527
458;-0.93094
459;0.26002
460;1.1382
461;0.51838
462;-0.81209
463;-1.0936
464;0.077521
465;1.175
466;0.73318
467;-0.69577
468;-1.2313
469;-0.14087
470;1.1601
471;0.94664
472;-0.52774
473;-1.3299
474;-0.38321
475;1.0878
476;1.1426
477;-0.31424
478;-1.3775
479;-0.63462
480;0.95728
481;1.3054
482;-0.065854
483;-1.3662
484;-0.8786
485;0.77263
486;1.4215
487;0.20335
488;-1.2927
489;-1.0985
490;0.54258
491;1.4804
492;0.47704
493;-1.1585
494;-1.2791
495;0.27984
496;1.4763
497;0.73806
498;-0.96996
499;-1.4079
500;-1.24E-13
501;1.4079
502;0.96996
503;-0.73806
504;-1.4763
505;-0.27984
506;1.2791
507;1.1585
508;-0.47704
509;-1.4804
510;-0.54258
511;1.0985
512;1.2927
513;-0.20335
514;-1.4215
515;-0.77263
516;0.8786
517;1.3662
518;0.065854
519;-1.3054
520;-0.95728
521;0.63462
522;1.3775
523;0.31424
524;-1.1426
525;-1.0878
526;0.38321
527;1.3299
528;0.52774
529;-0.94664
530;-1.1601
531;0.14087
532;1.2313
533;0.69577
534;-0.73318
535;-1.175
536;-0.077521
537;1.0936
538;0.81209
539;-0.51838
540;-1.1382
541;-0.26002
542;0.93094
543;0.87527
544;-0.31739
545;-1.0593
546;-0.39865
547;0.75874
548;0.88867
549;-0.14304
550;-0.95106
551;-0.49002
552;0.59206
553;0.85995
554;-0.0046098
555;-0.82778
556;-0.53548
557;0.44414
558;0.80018
559;0.092918
560;-0.70413
561;-0.54087
562;0.3252
563;0.72265
564;0.14921
565;-0.59352
566;-0.51572
567;0.24146
568;0.64141
569;0.16849
570;-0.50676
571;-0.47223
572;0.19464
573;0.56984
574;0.15893
575;-0.45106
576;-0.42387
577;0.18191
578;0.51922
579;0.13176
580;-0.4293
581;-0.38394
582;0.19624
583;0.49755
584;0.099926
585;-0.43982
586;-0.36412
587;0.22725
588;0.50878
589;0.07673
590;-0.47662
591;-0.37324
592;0.26238
593;0.55231
594;0.074323
595;-0.53004
596;-0.41623
597;0.28822
598;0.62311
599;0.10238
600;-0.58779
601;-0.49363
602;0.29203
603;0.71219
604;0.167
605;-0.63626
606;-0.60143
607;0.26313
608;0.80752
609;0.26996
610;-0.66202
611;-0.73138
612;0.1941
613;0.89526
614;0.40843
615;-0.6532
616;-0.87179
617;0.081682
618;0.96119
619;0.57513
620;-0.60086
621;-1.0087
622;-0.072761
623;0.99218
624;0.75893
625;-0.5
626;-1.1271
627;-0.26321
628;0.97759
629;0.94587
630;-0.3502
631;-1.2126
632;-0.47943
633;0.91043
634;1.1205
635;-0.15582
636;-1.2528
637;-0.70788
638;0.78819
639;1.2672
640;0.074232
641;-1.2385
642;-0.93285
643;0.61318
644;1.3719
645;0.32725
646;-1.165
647;-1.138
648;0.39252
649;1.4234
650;0.58779
651;-1.0322
652;-1.3077
653;0.13756
654;1.4143
655;0.83906
656;-0.84484
657;-1.4286
658;-0.13704
659;1.3418
660;1.0644
661;-0.61256
662;-1.4911
663;-0.41463
664;1.2085
665;1.2488
666;-0.34862
667;-1.4897
668;-0.67799
669;1.0214
670;1.3804
671;-0.068966
672;-1.424
673;-0.91088
674;0.79199
675;1.4511
676;0.20919
677;-1.2988
678;-1.0995
679;0.53502
680;1.4578
681;0.46894
682;-1.1232
683;-1.2336
684;0.26703
685;1.4025
686;0.69512
687;-0.91003
688;-1.3075
689;0.0050385
690;1.2919
691;0.87567
692;-0.67485
693;-1.3204
694;-0.23503
695;1.1368
696;1.0026
697;-0.43417
698;-1.2766
699;-0.43976
700;0.95106
701;1.0728
702;-0.20412
703;-1.1845
704;-0.59938
705;0.75032
706;1.0879
707;0.0010376
708;-1.0563
709;-0.70856
710;0.55044
711;1.0542
712;0.1702
713;-0.90623
714;-0.76681
715;0.366
716;0.98187
717;0.29635
718;-0.74958
719;-0.77829
720;0.20902
721;0.88385
722;0.37709
723;-0.6009
724;-0.75133
725;0.087785
726;0.77446
727;0.41473
728;-0.47266
729;-0.69741
730;0.0062254
731;0.66797
732;0.4159
733;-0.37413
734;-0.62991
735;-0.036384
736;0.57713
737;0.39073
738;-0.31042
739;-0.56268
740;-0.045203
741;0.51184
742;0.35171
743;-0.28216
744;-0.50858
745;-0.029175
746;0.47825
747;0.31228
748;-0.28542
749;-0.4781
750;7.20E-14
751;0.4781
752;0.28542
753;-0.31228
754;-0.47825
755;0.029175
756;0.50858
757;0.28216
758;-0.35171
759;-0.51184
760;0.045203
761;0.56268
762;0.31042
763;-0.39073
764;-0.57713
765;0.036384
766;0.62991
767;0.37413
768;-0.4159
769;-0.66797
770;-0.0062254
771;0.69741
772;0.47266
773;-0.41473
774;-0.77446
775;-0.087785
776;0.75133
777;0.6009
778;-0.37709
779;-0.88385
780;-0.20902
781;0.77829
782;0.74958
783;-0.29635
784;-0.98187
785;-0.366
786;0.76681
787;0.90623
788;-0.1702
789;-1.0542
790;-0.55044
791;0.70856
792;1.0563
793;-0.0010376
794;-1.0879
795;-0.75032
796;0.59938
797;1.1845
798;0.20412
799;-1.0728
800;-0.95106
801;0.43976
802;1.2766
803;0.43417
804;-1.0026
805;-1.1368
806;0.23503
807;1.3204
808;0.67485
809;-0.87567
810;-1.2919
811;-0.0050385
812;1.3075
813;0.91003
814;-0.69512
815;-1.4025
816;-0.26703
817;1.2336
818;1.1232
819;-0.46894
820;-1.4578
821;-0.53502
822;1.0995
823;1.2988
824;-0.20919
825;-1.4511
826;-0.79199
827;0.91088
828;1.424
829;0.068966
830;-1.3804
831;-1.0214
832;0.67799
833;1.4897
834;0.34862
835;-1.2488
836;-1.2085
837;0.41463
838;1.4911
839;0.61256
840;-1.0644
841;-1.3418
842;0.13704
843;1.4286
844;0.84484
845;-0.83906
846;-1.4143
847;-0.13756
848;1.3077
849;1.0322
850;-0.58779
851;-1.4234
852;-0.39252
853;1.138
854;1.165
855;-0.32725
856;-1.3719
857;-0.61318
858;0.93285
859;1.2385
860;-0.074232
861;-1.2672
862;-0.78819
863;0.70788
864;1.2528
865;0.15582
866;-1.1205
867;-0.91043
868;0.47943
869;1.2126
870;0.3502
871;-0.94587
872;-0.97759
873;0.26321
874;1.1271
875;0.5
876;-0.75893
877;-0.99218
878;0.072761
879;1.0087
880;0.60086
881;-0.57513
882;-0.96119
883;-0.081682
884;0.87179
885;0.6532
886;-0.40843
887;-0.89526
888;-0.1941
889;0.73138
890;0.66202
891;-0.26996
892;-0.80752
893;-0.26313
894;0.60143
895;0.63626
896;-0.167
897;-0.71219
898;-0.29203
899;0.49363
900;0.58779
901;-0.10238
902;-0.62311
903;-0.28822
904;0.41623
905;0.53004
906;-0.074323
907;-0.55231
908;-0.26238
909;0.37324
910;0.47662
911;-0.07673
912;-0.50878
913;-0.22725
914;0.36412
915;0.43982
916;-0.099926
917;-0.49755
918;-0.19624
919;0.38394
920;0.4293
921;-0.13176
922;-0.51922
923;-0.18191
924;0.42387
925;0.45106
926;-0.15893
927;-0.56984
928;-0.19464
929;0.47223
930;0.50676
931;-0.16849
932;-0.64141
933;-0.24146
934;0.51572
935;0.59352
936;-0.14921
937;-0.72265
938;-0.3252
939;0.54087
940;0.70413
941;-0.092918
942;-0.80018
943;-0.44414
944;0.53548
945;0.82778
946;0.0046098
947;-0.85995
948;-0.59206
949;0.49002
950;0.95106
951;0.14304
952;-0.88867
953;-0.75874
954;0.39865
955;1.0593
956;0.31739
957;-0.87527
958;-0.93094
959;0.26002
960;1.1382
961;0.51838
962;-0.81209
963;-1.0936
964;0.077521
965;1.175
966;0.73318
967;-0.69577
968;-1.2313
969;-0.14087
970;1.1601
971;0.94664
972;-0.52774
973;-1.3299
974;-0.38321
975;1.0878
976;1.1426
977;-0.31424
978;-1.3775
979;-0.63462
980;0.95728
981;1.3054
982;-0.065854
983;-1.3662
984;-0.8786
985;0.77263
986;1.4215
987;0.20335
988;-1.2927
989;-1.0985
990;0.54258
991;1.4804
992;0.47704
993;-1.1585
994;-1.2791
995;0.27984
996;1.4763
997;0.73806
998;-0.96996
999;-1.4079
1000;-2.49E-13
1001;1.4079
1002;0.96996
1003;-0.73806
1004;-1.4763
1005;-0.27984
1006;1.2791
1007;1.1585
1008;-0.47704
1009;-1.4804
1010;-0.54258
1011;1.0985
1012;1.2927
1013;-0.20335
1014;-1.4215
1015;-0.77263
1016;0.8786
1017;1.3662
1018;0.065854
1019;-1.3054
1020;-0.95728
1021;0.63462
1022;1.3775
1023;0.31424
1024;-1.1426
1025;0
1026;0
